,zipcode,address,price,size
508,91302,"24900 Paseo Del Rancho, Calabasas, CA 91302",11900000,10387
510,91301,"30340 Passageway Pl, Agoura Hills, CA 91301",759500,1804
511,91301,"30658 Lakefront Dr, Agoura Hills, CA 91301",799800,1688
512,91301,"28801 Barragan St, Agoura Hills, CA 91301",999000,2347
513,91301,"26901 Garret Dr, Calabasas, CA 91301",1095000,2600
514,91301,"5736 Skyview Way UNIT F, Agoura Hills, CA 91301",345000,681
515,91301,"5859 Larboard Ln, Agoura Hills, CA 91301",719999,1700
517,91301,"26836 Cold Springs St, Calabasas, CA 91301",887000,2048
518,91301,"5291 Colodny Dr UNIT 5, Agoura Hills, CA 91301",479900,1184
520,91301,"View Dr, Agoura Hills, CA 91301",179000,9147
521,91301,"29004 Acanthus Ct, Agoura Hills, CA 91301",1199000,3146
523,91301,"29140 Quail Run Dr, Agoura Hills, CA 91301",959900,2436
524,91301,"5320 Colodny Dr UNIT 5, Agoura Hills, CA 91301",449900,1191
525,91301,"28328 Driver Ave, Agoura Hills, CA 91301",1049000,2225
526,91301,"29935 Rainbow Crest Dr, Agoura Hills, CA 91301",706748,1806
528,91301,"5291 Colodny Dr UNIT 23, Agoura Hills, CA 91301",485000,1184
529,91301,"5715 Emerson Ct, Agoura Hills, CA 91301",1429000,3247
530,91301,"29300 Castlehill Dr, Agoura Hills, CA 91301",2300000,4526
531,91301,"6344 Kerryhill Ct, Agoura Hills, CA 91301",1299000,2854
532,91301,"30473 Mulholland Hwy SPC 69, Agoura Hills, CA 91301",389000,1350
534,91301,"1952 Hazel Nut Ct, Agoura Hills, CA 91301",1399000,3818
535,91301,"30620 Lakefront Dr, Agoura Hills, CA 91301",749000,1656
536,91301,"29461 Quail Run Dr, Agoura Hills, CA 91301",909000,2068
537,91301,"29757 Mulholland Hwy, Agoura, CA 91301",2249000,3926
538,91301,"30433 Penrod Dr, Agoura Hills, CA 91301",969000,2677
540,91301,"5912 Saint Laurent Dr, Agoura Hills, CA 91301",1589000,3978
543,91301,"1905 Olivera Dr, Agoura Hills, CA 91301",369000,6534
544,91301,"1911 Olivera Dr, Agoura Hills, CA 91301",369000,5227
546,91301,"5703 Toth Pl, Agoura Hills, CA 91301",1285000,2960
548,91301,"5701 Middle Crest Dr, Agoura Hills, CA 91301",1075000,2406
550,91304,"20933 Arminta St, Canoga Park, CA 91304",735000,2277
