,zipcode,address,price,size
405,91040,"9327 Hillrose St, Sunland, CA 91040",1450000,4138
407,91040,"10325 Ormond St, Sunland, CA 91040",2499000,2597
410,91042,"7634 Mcgroarty St, Tujunga, CA 91042",849999,1380
411,91042,"9743 Pali Ave, Tujunga, CA 91042",650000,1224
412,91042,"10446 Commerce Ave, Tujunga, CA 91042",749888,1044
413,91042,"6650 Elmhurst Dr, Tujunga, CA 91042",840000,1557
414,91042,"10329 Hillhaven Ave, Tujunga, CA 91042",649000,1805
415,91042,"6835 Greeley St, Tujunga, CA 91042",499999,1068
418,91042,"10026 Breidt Ave, Tujunga, CA 91042",564900,891
419,91042,"9450 Glen O Peace Pkwy # 9456, Tujunga, CA 91042",125000,9199
420,91042,"9816 Pali Ave, Tujunga, CA 91042",744700,1224
421,91042,"9674 Saluda Ave, Tujunga, CA 91042",759700,1318
422,91042,"10443 Las Lunitas Ave, Tujunga, CA 91042",575000,1484
423,91042,"10842 Mountair Ave, Tujunga, CA 91042",549945,1663
427,91042,"10026 Marcus Ave, Tujunga, CA 91042",399999,610
428,91042,"7740 Mcgroarty St, Tujunga, CA 91042",528016,1241
429,91042,"6365 Blanchard Canyon Rd, Tujunga, CA 91042",544000,1100
430,91042,"7539 Hillrose St, Tujunga, CA 91042",640000,1240
431,91042,"6424 Day St, Tujunga, CA 91042",1100000,2372
432,91042,"10347 Hillhaven Ave, Tujunga, CA 91042",425000,6098
433,91042,"10614 Fitzroy Ave, Tujunga, CA 91042",510000,650
435,91042,"9513 Inspiration Way, Tujunga, CA 91042",195000,10454
437,91042,"7102 Shadygrove St, Tujunga, CA 91042",529000,868
438,91042,"10449 Pinyon Ave, Tujunga, CA 91042",739000,780
439,91042,"10356 Mcclemont Ave, Tujunga, CA 91042",489000,720
440,91042,"0 Oak Bend Dr, Tujunga, CA",44800,4708
441,91042,"6939 Greeley St UNIT 109, Tujunga, CA 91042",625000,2100
442,91042,"6215 Gyral Dr, Tujunga, CA 91042",899000,2262
444,91042,"10905 Terecita Rd, Tujunga, CA 91042",979000,2760
445,91042,"7100 Estepa Dr, Tujunga, CA 91042",950000,1766
446,91042,"9460 Hillhaven Ave, Tujunga, CA 91042",1080000,3871
448,91042,"6815 Beckett St, Tujunga, CA 91042",699900,881
