,dr_no,area,date_occ,time_occ,location,lat,lon,crm_cd,zipcode
214,191228497,12,2019-12-08T00:00:00.000,600,1000 W  55TH                         ST,33.9923,-118.2915,956,90037
215,192119560,21,2019-12-08T00:00:00.000,1100,7000    MILWOOD                      AV,34.1974,-118.5943,624,91303
216,190623441,6,2019-12-08T00:00:00.000,1230,6200    DE LONGPRE                   AV,34.0962,-118.3237,421,90028
217,190417767,4,2019-12-08T00:00:00.000,1800,500 S  CLARENCE                     ST,34.0409,-118.2234,745,90033
218,191228415,12,2019-12-08T00:00:00.000,5,65TH,33.9798,-118.309,210,90047
219,191521645,15,2019-12-08T00:00:00.000,1600,7100    BELLAIRE                     AV,34.1994,-118.4094,626,91605
220,191018781,10,2019-12-08T00:00:00.000,1400,7400    SHOSHONE                     AV,34.2047,-118.5163,956,91406
221,190128816,1,2019-12-08T00:00:00.000,2200,600 N  HILL                         ST,34.0591,-118.2412,236,90012
222,191425147,14,2019-12-08T00:00:00.000,1200,SUNSET,33.9933,-118.4765,930,90291
223,191824520,18,2019-12-08T00:00:00.000,1100,9100    ORCHARD                      AV,33.9542,-118.2881,626,90044
224,191521649,15,2019-12-08T00:00:00.000,2155,6100    LANKERSHIM                   BL,34.1813,-118.3845,210,91606
225,192021097,20,2019-12-08T00:00:00.000,815,900 S  WILTON                       PL,34.0559,-118.3142,930,90019
226,190128815,1,2019-12-08T00:00:00.000,1550,800 E  4TH                          ST,34.0433,-118.2377,745,90013
227,192119551,21,2019-12-08T00:00:00.000,615,6700    DE SOTO                      AV,34.1921,-118.5884,330,91306
228,191018767,10,2019-12-08T00:00:00.000,930,8100    CANBY                        AV,34.2176,-118.5343,440,91335
229,192119543,21,2019-12-08T00:00:00.000,1535,6700    TOPANGA CANYON               BL,34.1926,-118.6059,442,91303
230,190301117,3,2019-12-08T00:00:00.000,30,WESTERN                      AV,34.0327,-118.309,230,90018
231,191323552,13,2019-12-08T00:00:00.000,1800,14TH                         ST,34.0284,-118.2469,230,90021
232,192021128,20,2019-12-08T00:00:00.000,1030,400 S  KINGSLEY                     DR,34.0672,-118.3029,626,90020
233,192021094,20,2019-12-08T00:00:00.000,859,300 S  NORTON                       AV,34.069,-118.3173,341,90004
234,190901031,9,2019-12-08T00:00:00.000,1430,13200    OXNARD                       ST,34.1794,-118.4204,626,91401
235,190417714,4,2019-12-08T00:00:00.000,115,3300    BARBEE                       ST,34.0691,-118.2064,440,90031
